"region","avg_long","avg_lat","state_initials","state_name"
"alabama",-86.6885147094727,32.6270818710327,"AL","Alabama"
"arizona",-111.924438476562,34.1740674972534,"AZ","Arizona"
"arkansas",-92.1373405456543,34.7527542114258,"AR","Arkansas"
"california",-119.258304595947,37.2794990539551,"CA","California"
"colorado",-105.553150177002,39.0012359619141,"CO","Colorado"
"connecticut",-72.7513160705566,41.5308456420898,"CT","Connecticut"
"delaware",-75.4270286560059,39.1530704498291,"DE","Delaware"
"district of columbia",-77.0341758728027,38.9009685516357,"DC","District of Columbia"
"florida",-83.8409118652344,28.0692014694214,"FL","Florida"
"georgia",-83.2278480529785,32.6757850646973,"GA","Georgia"
"idaho",-114.141784667969,45.4957122802734,"ID","Idaho"
"illinois",-89.4988708496094,39.7546768188477,"IL","Illinois"
"indiana",-86.4507369995117,39.7833251953125,"IN","Indiana"
"iowa",-93.3720664978027,41.9433746337891,"IA","Iowa"
"kansas",-98.3224182128906,38.5084915161133,"KS","Kansas"
"kentucky",-85.6858406066895,37.8152160644531,"KY","Kentucky"
"louisiana",-91.5414695739746,31.0084762573242,"LA","Louisiana"
"maine",-69.0414161682129,45.2665309906006,"ME","Maine"
"maryland",-77.2776794433594,38.8264865875244,"MD","Maryland"
"massachusetts",-71.7257232666016,42.0579662322998,"MA","Massachusetts"
"michigan",-86.4278144836426,44.596170425415,"MI","Michigan"
"minnesota",-93.3491516113281,46.4382305145264,"MN","Minnesota"
"mississippi",-89.8712921142578,32.5898399353027,"MS","Mississippi"
"missouri",-92.4238204956055,38.3079586029053,"MO","Missouri"
"montana",-110.045135498047,46.6874656677246,"MT","Montana"
"nebraska",-99.6975212097168,41.5021953582764,"NE","Nebraska"
"nevada",-117.020904541016,38.5142230987549,"NV","Nevada"
"new hampshire",-71.6426429748535,44.0060234069824,"NH","New Hampshire"
"new jersey",-74.7251586914062,40.1471538543701,"NJ","New Jersey"
"new mexico",-106.028705596924,34.1740674972534,"NM","New Mexico"
"new york",-75.8223686218262,42.7483825683594,"NY","New York"
"north carolina",-79.930477142334,35.2283096313477,"NC","North Carolina"
"north dakota",-100.293395996094,47.4695529937744,"ND","North Dakota"
"ohio",-82.6663513183594,40.1987190246582,"OH","Ohio"
"oklahoma",-98.7234916687012,35.3429012298584,"OK","Oklahoma"
"oregon",-120.498756408691,44.1148853302002,"OR","Oregon"
"pennsylvania",-77.6300506591797,40.9922657012939,"PA","Pennsylvania"
"rhode island",-71.4850769042969,41.665491104126,"RI","Rhode Island"
"south carolina",-80.9618034362793,33.6240272521973,"SC","South Carolina"
"south dakota",-100.247562408447,44.2065601348877,"SD","South Dakota"
"tennessee",-85.9665870666504,35.8270511627197,"TN","Tennessee"
"texas",-100.092864990234,31.2147417068481,"TX","Texas"
"utah",-111.543422698975,39.4997100830078,"UT","Utah"
"vermont",-72.4791603088379,43.8771076202393,"VT","Vermont"
"virginia",-79.4320068359375,37.9985637664795,"VA","Virginia"
"washington",-120.802417755127,47.2690200805664,"WA","Washington"
"west virginia",-80.1682548522949,38.9238872528076,"WV","West Virginia"
"wisconsin",-89.9400482177734,44.7164916992188,"WI","Wisconsin"
"wyoming",-107.558502197266,42.997615814209,"WY","Wyoming"
